,State,City,Metro,FIPS, Pop 2010 ,Cancer %,Asthma %,Heart Disease %,Pluminary Disease %,Mental Illness %,Poor Health %,Lat,Lon,ID,Lat_Metro,Lon_Metro,Avg Temp 1990,Avg Temp 2014,Pop_Metro_2015,CO2 1975,CO2 1990,CO2 2000,CO2 2012,PM2.5 2000,PM2.5 2005,PM 2.5 2010,PM2.5 2014,Heat Wave Index
360,,,St. Louis ,,,,,,,,,,,487,38.64866335,-90.29516847,14.04787922,14.31618166,1100883.938,14164697.03,12318261.59,10811407.33,9100807.897,17.64392,12.1899,10.355296,11.6142,27.7961998
361,,,State College ,,,,,,,,,,,878,40.79840353,-77.87303276,9.964262962,10.03501463,55234.85016,34696.84781,30719.01101,33281.8812,30465.86787,15.3782,12.1316,9.745504,9.712065,10.96889973
362,,,Sterling ,,,,,,,,,,,858,39.03309098,-77.49312181,13.20831347,13.13925672,76894.89133,50313.13245,57346.4006,99488.06922,92823.69602,17.58334,14.2386,10.800674,10.66147,6.031939983
83,CA,Stockton,Stockton,675000,291707,4.9,9.5,6.1,6.5,14.4,14.4,37.97663227,-121.3111217,,,,,,,,,,,,,,,
363,,,Stockton ,,,,,,,,,,,34,37.97378272,-121.2952444,15.7457211,17.04826498,365617.9699,1726878.948,1598270.634,1726653.584,1325509.404,14.99624,11.57092,11.131124,13.20855,9.537779808
364,,,Sunland Park ,,,,,,,,,,,145,31.84208675,-106.5494939,17.23944712,18.52583599,94358.2128,321588.2736,281875.337,374362.7966,337969.937,10.054662,9.28575,7.948384,8.938775,11.90060043
365,,,Syracuse ,,,,,,,,,,,950,43.08028076,-76.15442227,9.134649277,9.680646896,253820.4312,2996172.662,2615437.402,2392968.642,1849389.398,13.1312,10.864756,8.918928,9.001345,8.986769676
366,,,Tallahassee ,,,,,,,,,,,493,30.44089044,-84.29721635,20.31932878,20.80668497,70101.07556,265695.7832,232461.6555,309521.1328,344201.5211,17.93778,12.63238,9.731308,9.91051,9.015910149
75,FL,Tampa,Tampa,1271000,335709,5.6,8.4,6.1,6.9,13.9,13.8,27.99619804,-82.44503498,501,27.80797724,-82.70346723,23.04238939,23.50172043,1996766.554,16848633.43,14539981.79,16566940.1,19675910.54,18.09332,12.25302,9.243166,9.400435,9.286230087
76,FL,St. Petersburg,Tampa,1263000,244769,7,8.1,7.1,7.8,13,13.3,27.79289497,-82.66507432,501,27.80797724,-82.70346723,23.04238939,23.50172043,1996766.554,16848633.43,14539981.79,16566940.1,19675910.54,18.09332,12.25302,9.243166,9.400435,9.286230087
367,,,Temecula-Murrieta ,,,,,,,,,,,37,33.53338129,-117.1527164,17.23491192,18.12471008,231017.5027,230040.2053,224020.78,399573.7903,367175.6972,14.26344,12.40574,10.81154,11.5745,3.306469917
368,,,Thousand Oaks ,,,,,,,,,,,12,34.18196155,-118.8641047,15.5053575,16.24344993,146356.3494,383428.7084,338474.1885,395478.957,382221.8998,17.62718,14.98262,13.11822,15.62365,0
84,OH,Toledo,Toledo,3977000,287208,6,11.1,7.8,9.4,15.9,15.2,41.66373996,-83.58238184,,,,,,,,,,,,,,,
