,State,City,FIPS, Pop 2010 ,Cancer %,Asthma %,Heart Disease %,Pulminary Disease %,Mental Illness %,Poor Health %,Lat,Lon,Lat_Metro,Lon_Metro,Avg Temp 1990,Avg Temp 2014,Pop_Metro_2015,CO2 1975,CO2 1990,CO2 2000,CO2 2012,PM2.5 2000,PM2.5 2005,PM 2.5 2010,PM2.5 2014,Heat Wave Index,Poverty Rate 2009-2013,Economic Rank,FIPS_place,stname,state_fips
0,NM,Albuquerque,3502000,545852,5.8,10.4,5.6,5.5,12.6,12.9,35.10550258,-106.6474477,35.12903763,-106.62916200000001,10.68446422,11.74142146,685933.7471,4360883.874,3720008.117,3800903.9910000004,3259877.555,8.652916000000001,8.211202,6.974017999999999,6.863455,10.98079967,0.179,125,02000,New Mexico,35
1,AK,Anchorage,203000,291826,5.1,9.3,4.5,5.0,11.4,10.6,61.14986873,-149.11111340000002,61.19923392,-149.8314747,2.0761723819999998,2.9908221960000003,123089.786,377977.8228,334426.3583,382393.3222,349161.7627,5.862218,5.384437999999999,4.634226,8.126339999999999,9.129659653,0.079,197,03000,Alaska,2
2,GA,Atlanta,1304000,420003,4.8,9.0,5.0,5.7,12.2,11.1,33.76265247,-84.42314191,33.84096954,-84.30090571,17.14769793,17.22755289,1516952.499,12726624.75,12290679.71,14599934.15,12508803.31,19.79446,13.3116,10.70848,10.28025,18.74349976,0.25,17,04000,Georgia,13
3,TX,Austin,4805000,790390,4.3,8.3,3.9,4.0,11.4,9.4,30.30686103,-97.75547712,30.37163753,-97.73513149,20.25407124,20.95482636,1063620.6670000001,4417962.777,4107195.3439999996,5003949.553,4174130.503,15.143920000000001,10.114128,8.038374000000001,8.593885,15.35470009,0.191,3,05000,Texas,48
4,TX,Corpus Christi,4817000,305215,5.4,8.6,6.5,6.0,12.2,14.1,27.72915883,-97.40190954,27.74286947,-97.40416723,22.38120365,22.89654064,225223.0592,1258590.356,1203833.367,1215517.998,980750.4275,13.320098000000002,8.644316,6.7918259999999995,7.35278,14.9744997,0.182,188,17000,Texas,48
5,TX,Dallas,4819000,1197816,4.8,9.4,5.6,5.8,13.2,12.8,32.79398041,-96.76569295,32.8573485,-96.96526227,18.48534775,19.27159834,5165561.23,39174644.28,35224550.66,40179364.14,33572785.14,15.816820000000002,11.4509,9.357422,10.3632,11.64579964,0.23800000000000002,5,19000,Texas,48
6,TX,Houston,4835000,2099451,4.8,8.8,5.6,5.6,13.0,12.9,29.78066914,-95.3860034,29.78137075,-95.40836967,20.69648314,21.19856071,4873719.74,45957923.42,52311698.57,55374870.29,40878929.78,17.062260000000002,11.71976,8.876372,9.49125,51.10409927,0.22899999999999998,119,35000,Texas,48
7,TX,Lubbock,4845000,229573,5.2,9.2,5.5,5.7,13.1,11.8,33.56662512,-101.8863357,33.55313129,-101.8956147,15.66523099,16.68215704,206987.615,1200277.528,1042329.295,1046342.412,954943.4986,7.981408,6.478616000000001,5.471234,5.813725,9.009750366,0.218,86,45000,Texas,48
8,TX,San Antonio,4865000,1327407,4.9,8.4,5.9,5.4,12.5,14.1,29.47214753,-98.52467635,29.49173859,-98.5206364,21.39313078,22.21615744,1483926.84,11637407.57,10420016.65,11244108.07,9729035.184,14.86002,9.888844,7.945454,8.466455,10.72340012,0.19899999999999998,32,65000,Texas,48
9,CA,Bakersfield,603526,347483,5.0,9.5,5.4,6.1,14.0,13.1,35.35133029,-119.02978600000002,35.36381044,-119.0475354,17.97289371,19.10495472,533318.4537,3324191.095,3342471.1810000003,3438174.395,2668842.2819999997,16.6687,14.38446,12.763119999999999,15.1119,4.478769778999999,0.204,162,03526,California,6
