State,City,FIPS, Pop 2010 ,Cancer %,Asthma %,Heart Disease %,Pluminary Disease %,Mental Illness %,Poor Health %,Lat_rough,Lon_rough
MO,St. Louis,2965000,"319,294",5.5,11.4,6.4,7.8,15.5,15.4,39,-90
CA,Sacramento,664000,"466,488",5.2,9.9,5.4,5.9,13.2,12.7,39,-121
CA,Santa Rosa,670098,"167,815",6.6,9.2,5.4,5.8,12.4,11.6,38,-123
CA,Elk Grove,622020,"153,015",5.1,9,4.3,4.5,11,10.1,38,-121
KY,Louisville,2148006,"597,337",6.7,12.3,8.1,9.4,14.3,14.3,38,-86
KY,Lexington,2146027,"295,803",5.6,11.3,6.3,7.8,13.3,13,38,-84
CA,Stockton,675000,"291,707",4.9,9.5,6.1,6.5,14.4,14.4,38,-121
CA,Oakland,653000,"390,724",5.1,9.8,5,5.2,12.4,12,38,-122
CA,San Francisco,667000,"805,235",5.2,7.8,4.5,4,9.9,8.9,38,-122
KS,Wichita,2079000,"382,368",6.2,9.7,6.5,6.6,12.2,11.8,38,-97
CA,Modesto,648354,"201,165",6,9.5,6.3,6.7,13.8,13.6,38,-121
CA,Hayward,633000,"144,186",4.8,8.8,4.7,4.7,11.8,11.1,38,-122
VA,Richmond,5167000,"204,214",5,10.1,5.6,6.4,13.8,12.3,38,-77
CA,Fremont,626000,"214,089",4.9,7.2,3.7,3.3,8.5,7.8,38,-122
CA,Sunnyvale,677000,"140,081",5.2,7,3.7,3.2,8.2,7.6,37,-122
CA,San Jose,668000,"945,942",4.9,7.8,4.3,4,10.2,9.9,37,-122
MO,Springfield,2970000,"159,498",6.4,10,6.9,8.4,15.7,14.9,37,-93
VA,Newport News,5156000,"180,719",5.5,9.7,5.5,6.1,13.2,11.7,37,-77
VA,Hampton,5135000,"137,436",5.8,9.8,6,6.5,12.9,12.3,37,-76
VA,Norfolk,5157000,"242,803",4.7,9.6,5.1,5.8,13.1,11.4,37,-76
CA,Fresno,627000,"494,665",4.9,9.8,5.8,6.6,14.6,14.3,37,-120
VA,Virginia Beach,5182000,"437,994",5.7,8.5,4.8,5.1,11.4,10.1,37,-76
CA,Salinas,664224,"150,441",4.2,9.2,5.2,5.7,14.5,14.1,37,-122
VA,Chesapeake,5116000,"222,209",5.8,9,5.3,5.7,11.7,10.8,37,-76
TN,Clarksville,4715160,"132,929",4.6,10.5,5,6.9,15.1,13.3,37,-87
CA,Visalia,682954,"124,442",5.5,9.2,5.8,6.3,13.1,13.1,36,-119
NV,North Las Vegas,3251800,"216,961",4.5,9.1,5.5,6.7,15.8,14.4,36,-115
NV,Las Vegas,3240000,"583,756",5.8,8.7,6.7,7.3,14.7,14.4,36,-115
TN,Nashville,4752006,"601,222",5.4,10.4,5.6,7.1,13.8,13.1,36,-87
OK,Tulsa,4075000,"391,906",6.3,10.3,6.7,7.4,14.3,14.4,36,-96
NC,Winston-Salem,3775000,"229,617",6,9.2,6.5,7,14.1,12.9,36,-80
NC,Greensboro,3728000,"269,666",5.5,9.1,5.6,6.1,13.2,11.4,36,-80
NV,Henderson,3231900,"257,729",6.6,8.2,6.2,6.4,12.6,12.1,36,-115
NC,Durham,3719000,"228,330",4.8,8.8,4.8,5.3,12.7,10.8,36,-79
TN,Knoxville,4740000,"178,874",6,10.9,6.5,8.5,16.1,15.1,36,-84
NC,Raleigh,3755000,"403,892",4.8,8.5,4.2,4.6,12.2,9.2,36,-79
NC,Cary,3710740,"135,234",5.6,7.4,4.1,4,9.7,7.8,36,-79
OK,Oklahoma City,4055000,"579,999",5.7,10.2,6.6,7.2,14.5,14,35,-98
CA,Bakersfield,603526,"347,483",5,9.5,5.4,6.1,14,13.1,35,-119
NC,Charlotte,3712000,"731,424",5,8.6,4.8,5.2,11.9,10.3,35,-81
TX,Amarillo,4803000,"190,695",6.2,9.2,6.4,6.6,13,13.1,35,-102
NM,Albuquerque,3502000,"545,852",5.8,10.4,5.6,5.5,12.6,12.9,35,-107
TN,Memphis,4748000,"646,889",5.2,11.7,6.7,8.9,15.9,16.5,35,-90
NC,Fayetteville,3722920,"200,564",5.1,9.2,5.5,6.1,14,11.7,35,-79
TN,Chattanooga,4714000,"167,674",6.3,10.7,7.4,9.1,14.8,15.5,35,-85
AR,Little Rock,541000,"193,524",6.1,9.3,6.2,6.7,14.2,13.9,35,-92
AL,Huntsville,137000,"180,105",6.4,9.5,6.7,7.6,13.3,13.2,35,-87
CA,Lancaster,640130,"156,633",4.8,9.4,5.2,6.4,14.5,13.9,35,-118
CA,Palmdale,655156,"152,750",4.4,9.3,4.9,6,14.6,14.3,35,-118
CA,Santa Clarita,669088,"176,320",5.6,8.1,4.3,4.7,11.2,10.4,34,-119
CA,Oxnard,654652,"197,899",4.3,8.8,5.1,5.3,13.7,13.4,34,-119
CA,Thousand Oaks,678582,"126,683",7.1,8.1,5.2,4.9,9.8,9.7,34,-119
CA,Glendale,630000,"191,719",6.5,8.4,5.7,6,11.7,11.9,34,-118
CA,Pasadena,656000,"137,122",5.6,7.9,4.6,4.5,10.5,10.3,34,-118
CA,San Bernardino,665000,"209,924",4.4,10.7,6.2,7.3,16.6,16.6,34,-117
CA,Rancho Cucamonga,659451,"165,269",4.8,8.8,4.1,4.4,11.3,10.1,34,-118
CA,Los Angeles,644000,"3,792,621",4.9,8.5,4.9,5.3,12.9,12.8,34,-118
CA,Fontana,624680,"196,069",3.8,9.3,4.4,4.9,13.6,12.6,34,-117
CA,Pomona,658072,"149,058",4.1,8.6,4.8,5.2,13.9,13.7,34,-118
CA,Ontario,653896,"163,924",4,9.4,4.7,5.3,13.9,13.2,34,-118
SC,Columbia,4516000,"129,272",4.3,9.4,4.7,5.8,15.8,12.3,34,-81
CA,Riverside,662000,"303,871",4.7,8.8,4.9,5.2,13.1,12.2,34,-117
CA,Moreno Valley,649270,"193,365",4.1,9.3,4.8,5.3,13.8,13.1,34,-117
CA,Fullerton,628000,"135,161",5.3,8,4.8,4.7,10.9,10.8,34,-118
CA,Corona,616350,"152,374",4.7,8.3,4.5,4.7,11.9,11.2,34,-118
CA,Anaheim,602000,"336,265",4.7,8.4,4.9,5.2,12.3,12.5,34,-118
CA,Torrance,680000,"145,438",6.2,7.1,4.6,4.1,9,9,34,-118
CA,Long Beach,643000,"462,257",4.8,8.7,4.7,5.2,12.9,12.2,34,-118
