,State,City,Metro,FIPS,  Pop 2010  ,County,Life Expectancy,FIPS_y,Life Expectancy_y
13851,NC,Raleigh,Raleigh,3755000.0," 403,892 ",Wake County,81.8,3755000.0,80.25064102564097
14007,NV,Reno,Reno,3260600.0," 225,221 ",Washoe County,75.1,3260600.0,78.19468085106384
14101,NY,Rochester,Rochester,3663000.0," 210,565 ",Monroe County,75.3,3663000.0,79.30113636363639
14277,CA,Sacramento,Sacramento,664000.0," 466,488 ",Sacramento County,82.5,664000.0,78.71533333333339
14577,,Salt Lake City ,Salt Lake City ,,,Salt Lake County,,,
14578,TX,San Antonio,San Antonio,4865000.0," 1,327,407 ",Bexar County,77.3,4865000.0,77.78031250000004
14898,CA,San Diego,San Diego,666000.0," 1,307,402 ",San Diego County,88.0,666000.0,80.76333907056798
15479,CA,San Francisco,San Francisco,667000.0," 805,235 ",San Francisco County,82.7,667000.0,81.78636363636367
15655,WA,Seattle,Seattle,5363000.0," 608,660 ",King County,77.9,5363000.0,81.20185185185186
16033,WA,Spokane,Spokane,5367000.0," 208,916 ",Spokane County,73.1,5367000.0,77.72330097087378
16136,MO,St. Louis,St. Louis,2965000.0," 319,294 ",Saint Louis County,,2965000.0,
16137,CA,Stockton,Stockton,675000.0," 291,707 ",San Joaquin County,68.6,675000.0,77.47028985507248
16275,FL,Tampa,Tampa,1271000.0," 335,709 ",Hillsborough County,76.9,1271000.0,77.53308270676695
16541,OH,Toledo,Toledo,3977000.0," 287,208 ",Lucas County,76.7,3977000.0,75.12357723577237
16664,AZ,Tucson,Tucson,477000.0," 520,116 ",Pima County,79.9,477000.0,78.30590909090911
16884,OK,Tulsa,Tulsa,4075000.0," 391,906 ",Tulsa County,71.9,4075000.0,76.0732142857142
17052,VA,Virginia Beach,Virginia Beach,5182000.0," 437,994 ",Virginia Beach city,,5182000.0,
17053,DC,Washington,Washington,1150000.0," 601,723 ",District of Columbia,,1150000.0,
17054,KS,Wichita,Wichita,2079000.0," 382,368 ",Sedgwick County,72.8,2079000.0,76.97768595041326
17175,NC,Winston-Salem,Winston-Salem,3775000.0," 229,617 ",Forsyth County,70.8,3775000.0,77.14545454545457
