State,City,Metro,FIPS, Pop 2010 ,Cancer %,Asthma %,Heart Disease %,Pluminary Disease %,Mental Illness %,Poor Health %,Lat,Lon
CO,Aurora,Detroit,804000,325078,5.1,9.2,4.7,5.1,12.1,10.9,39.70915948,-104.7265266
CA,Santa Ana,Los Angeles,669000,324528,3.7,8.9,5,5.4,14.5,14.9,33.73669484,-117.8818902
MO,St. Louis,St. Louis,2965000,319294,5.5,11.4,6.4,7.8,15.5,15.4,38.63581226,-90.24511868
PA,Pittsburgh,Pittsburgh,4261000,305704,5.8,10.7,5.9,6.5,13.5,12,40.43962975,-79.9762615
TX,Corpus Christi,Corpus Christi,4817000,305215,5.4,8.6,6.5,6,12.2,14.1,27.72915883,-97.40190954
CA,Riverside,Los Angeles,662000,303871,4.7,8.8,4.9,5.2,13.1,12.2,33.93812517,-117.3948458
OH,Cincinnati,Cincinnati,3915000,296943,5.5,10.9,6.4,7.9,15,13.7,39.14117471,-84.50600045
KY,Lexington,Lexington,2146027,295803,5.6,11.3,6.3,7.8,13.3,13,38.0423254,-84.45872596
AK,Anchorage,Anchorage,203000,291826,5.1,9.3,4.5,5,11.4,10.6,61.14986873,-149.1111134
CA,Stockton,Stockton,675000,291707,4.9,9.5,6.1,6.5,14.4,14.4,37.97663227,-121.3111217
OH,Toledo,Toledo,3977000,287208,6,11.1,7.8,9.4,15.9,15.2,41.66373996,-83.58238184
MN,St. Paul,Minneapolis,2758000,285068,5,8.5,4.7,4.4,11.3,10.2,44.94774026,-93.10399583
NJ,Newark,New York,3451000,277140,4.2,10.8,6.4,7.6,15.8,16.7,40.72606934,-74.17529971
NC,Greensboro,Greensboro,3728000,269666,5.5,9.1,5.6,6.1,13.2,11.4,36.09604804,-79.82768331
NY,Buffalo,Buffalo,3611000,261310,5.8,12.7,7.1,8.5,15.5,15.8,42.90145182,-78.84752373
TX,Plano,Dallas,4858016,259841,5.6,7.8,4.3,4.1,9.8,8.9,33.05021493,-96.74864098
NE,Lincoln,Lincoln,3128000,258379,5.7,8.3,4.7,4.8,10.7,8.7,40.80961957,-96.6806742
NV,Henderson,Las Vegas,3231900,257729,6.6,8.2,6.2,6.4,12.6,12.1,36.01223949,-115.0373922
IN,Fort Wayne,Fort Wayne,1825000,253691,6.2,10.9,6.9,7.5,13.4,13.5,41.08849204,-85.14358988
